# Artefact digests. Written by scripts/artefact_digests.py; described by
# docs/80-artefact-digests.md. DO NOT EDIT BY HAND.
#
# Historical run outputs are git-ignored. Since 2026-09-19 this also
# pins tracked docs/evidence JSON records requested by external review F6.
# This file pins their IDENTITY so that the evidence
# behind docs/71, docs/74, docs/75, docs/77 and docs/79 cannot be
# silently swapped. It does NOT make the artefacts available and it does
# NOT establish that any of them is correct.
#
# 571 artefacts, 0 bytes to 1.718 GB, 5.172 GB in total.
#
# sha256 is over the file's bytes. `metrics` is `k=v;k=v`, read out of the
# artefact by this script's own extractors, and is a legibility aid, not a
# check -- the digest is the check.
#
#   scripts/artefact_digests.py --check    re-verify. MISSING is not FAILED
#   scripts/artefact_digests.py --write    rebuild on a machine that has the runs
#   scripts/artefact_digests.py --write-evidence  update only tracked JSON records

group	cites	role	path	bytes	sha256	metrics
pilot-signoff-superseded	31,32,34,79	metrics	hw/openlane/pilot_ihp/runs/signoff-6x2/final/metrics.json	10124	f3889ee38760ac905e86a3d4b7bc8bac34941cae4a888592a1f05621298f2bbd	keys=196;die_um2=404499;insts=33564;stdcells=12546;flops=1296;stdcell_um2=191588;util=0.487516;setup_ws_slow=1.226180081066267;setup_ws_typ=8.103343114768531;setup_ws_fast=12.137398096789024;setup_tns_slow=0;setup_vio_slow=0;hold_ws_slow=0.6040953464001406;hold_ws_typ=0.2829435654746831;hold_ws_fast=0.102949152117101;setup_bufs=20;hold_bufs=0;wirelength=472381;drc=0;slew_vio_slow=0;cap_vio_slow=0;antenna_nets=0
pilot-signoff-superseded	31,32,34,79	config	hw/openlane/pilot_ihp/runs/signoff-6x2/resolved.json	22814	c280970d1eb1478a0398e7e60aa69af387dac927dc744cd325c58ed76bbe7726	keys=411
pilot-submission-superseded	31,34	netlist	hw/openlane/pilot_ihp/runs/submission-6x2/final/nl/tt_um_melihakbulut_nssoc.nl.v	2565946	52b2debf3b2097c1544b2a5ea625675add5ec71a3d3ac9b68dfb5b32d6120989	lines=72858;cells=33564;flops=1296
pilot-submission-superseded	31,34	netlist	hw/openlane/pilot_ihp/runs/submission-6x2/final/pnl/tt_um_melihakbulut_nssoc.pnl.v	3513932	39470ad135125f6b80abaf487877ef81d442ee8dd567bde5ea89ec42995ee73e	lines=118972;cells=33564;flops=1296
pilot-submission-superseded	31,34	def	hw/openlane/pilot_ihp/runs/submission-6x2/final/def/tt_um_melihakbulut_nssoc.def	13960592	8f99c979c513ab5d9dd2ebb5e72bbf77d28180ac2d7165772664dfe09586fcf4	units_per_um=1000;diearea=(00)(1289280313740);components=33564
pilot-submission-superseded	31,34	gds	hw/openlane/pilot_ihp/runs/submission-6x2/final/gds/tt_um_melihakbulut_nssoc.gds	20760838	664326bf142635dd14f2b369b9cc8a935123f859f3100886da0f226e220a9372	
pilot-submission-superseded	31,34	metrics	hw/openlane/pilot_ihp/runs/submission-6x2/final/metrics.json	10048	39a17f64239eebc14a52a86a5a75c23d8f01e85d514525aabc4c58d91b6d998a	keys=194;die_um2=404499;insts=33564;stdcells=12546;flops=1296;stdcell_um2=191588;util=0.487516;setup_ws_slow=1.226180081066267;setup_ws_typ=8.103343114768531;setup_ws_fast=12.137398096789024;setup_tns_slow=0;setup_vio_slow=0;hold_ws_slow=0.6040953464001406;hold_ws_typ=0.2829435654746831;hold_ws_fast=0.102949152117101;setup_bufs=20;hold_bufs=0;wirelength=472381;drc=0;slew_vio_slow=0;cap_vio_slow=0;antenna_nets=0
pilot-submission-superseded	31,34	config	hw/openlane/pilot_ihp/runs/submission-6x2/resolved.json	22715	0b73090bf441af7a92e17ea03313631b79f9eef567eee5211418e1a3907c1c5e	keys=411
pilot-shape6x2	26,27	netlist	hw/openlane/pilot_ihp/runs/shape-6x2/final/nl/tt_um_melihakbulut_nssoc.nl.v	2570202	2b2000b113c7d35a8a10c87ad3dc7cc8d6cea8bb4047b1b2f3d902006c83d3f8	lines=72903;cells=33801;flops=1275
pilot-shape6x2	26,27	def	hw/openlane/pilot_ihp/runs/shape-6x2/final/def/tt_um_melihakbulut_nssoc.def	13993680	868b0547e9d8ae01b211cd7c7de8da7947831098879bd9020fb02f43349800e4	units_per_um=1000;diearea=(00)(1289280313740);components=33801
pilot-shape6x2	26,27	gds	hw/openlane/pilot_ihp/runs/shape-6x2/final/gds/tt_um_melihakbulut_nssoc.gds	20773992	40cab6aa1ded3d7edcb21b626539ff3a571591ddc8523255d4e9a1eb50555c33	
